,Symbol,Name,Closed_0214,%Percentage,Sector,GICS.Sub.Industry,Market_Cap,ValueRetention,ValueRetention*Market_Cap,kmedian_cluster,kmeans_cluster
362,PBCT,People's United Financial,16.25,-34.15384733,Financials,Thrifts & Mortgage Finance,7.047999999999999,65.84615267000001,464.0836840181601,3,3
363,PEP,PepsiCo Inc.,146.9900055,-28.44411431,Consumer Staples,Soft Drinks,204.25,71.55588569,14615.2896521825,2,1
364,PKI,PerkinElmer,95.55999756,-28.99748827,Health Care,Health Care Equipment,10.62,71.00251173,754.0466745725998,2,1
365,PRGO,Perrigo,57.70999908,-26.75446001,Health Care,Pharmaceuticals,7.854,73.24553999,575.27047108146,2,1
366,PFE,Pfizer Inc.,36.50999832,-21.96658154,Health Care,Pharmaceuticals,202.05,78.03341846000002,15766.652199843003,2,1
367,PM,Philip Morris International,88.5,-32.22598922,Consumer Staples,Tobacco,137.7,67.77401078,9332.481284406,2,3
368,PSX,Phillips 66,89.47000122,-52.95629867,Energy,Oil & Gas Refining & Marketing,39.32,47.04370133,1849.7583362956,1,2
369,PNW,Pinnacle West Capital,100.4300003,-37.35935512,Utilities,Multi-Utilities,11.29,62.64064488,707.2128806951999,3,3
370,PXD,Pioneer Natural Resources,139.2299957,-55.97931279,Energy,Oil & Gas Exploration & Production,23.05,44.02068721,1014.6768401905,1,2
371,PNC,PNC Financial Services,154.13000490000005,-47.68053148,Financials,Regional Banks,66.08,52.31946852,3457.2704798016,3,3
372,PPG,PPG Industries,120.15000149999999,-39.65876065,Materials,Specialty Chemicals,28.33,60.34123935,1709.4673107854999,3,3
373,PPL,PPL Corp.,35.36999893,-47.44133245,Utilities,Electric Utilities,27.16,52.55866755,1427.493410658,3,3
374,PFG,Principal Financial Group,56.36000061,-57.13271897,Financials,Life & Health Insurance,15.48,42.86728103,663.5855103444001,1,2
375,PG,Procter & Gamble,126.1399994,-22.54637909,Consumer Staples,Personal Products,311.5,77.45362091,24126.802913465,2,1
376,PGR,Progressive Corp.,83.76999664,-20.55627824,Financials,Property & Casualty Insurance,49.03,79.44372176,3895.125677892801,2,1
377,PLD,Prologis,97.55000305,-35.03844495,Real Estate,Industrial REITs,72.06,64.96155505,4681.129656903,3,3
378,PRU,Prudential Financial,94.48000336,-58.48856919,Financials,Life & Health Insurance,37.68,41.51143081,1564.1507129207998,1,2
379,PEG,Public Serv. Enterprise Inc.,58.47999954,-36.9699027,Utilities,Electric Utilities,29.47,63.0300973,1857.496967431,3,3
380,PSA,Public Storage,232.82000730000004,-31.01537859,Real Estate,Specialized REITs,40.61,68.98462141,2801.4654754601,2,3
381,PHM,PulteGroup,46.68999863,-62.004711300000004,Consumer Discretionary,Homebuilding,12.61,37.9952887,479.1205905069999,1,2
382,PVH,PVH Corp.,89.37000275,-67.49468687,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6.461,32.505313130000005,210.01682813293004,1,2
383,QRVO,Qorvo,106.0199966,-34.57837879,Information Technology,Semiconductors,12.26,65.42162121,802.0690760346,3,3
384,PWR,Quanta Services Inc.,40.5,-41.23456979,Industrials,Construction & Engineering,5.766,58.76543021,338.84147059086,3,3
385,QCOM,QUALCOMM Inc.,89.59999847,-30.21205375,Information Technology,Semiconductors,102.42,69.78794625,7147.681454925,2,3
386,DGX,Quest Diagnostics,112.84999850000001,-33.41603863,Health Care,Health Care Services,15.06,66.58396137,1002.7544582322,2,3
387,RL,Ralph Lauren Corporation,121.8399963,-46.32304375,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8.985,53.67695625,482.28745190625,3,3
388,RJF,Raymond James Financial Inc.,98.94999695,-44.31531059,Financials,Investment Banking & Brokerage,13.78,55.68468941,767.3350200698,3,3
389,RTN,Raytheon Co.,227.17999269999996,-49.14164775,Industrials,Aerospace & Defense,63.26,50.85835225,3217.299363335,3,3
390,O,Realty Income Corporation,80.25,-45.99376928,Real Estate,Retail REITs,26.77,54.00623072,1445.7467963744,3,3
391,REG,Regency Centers Corporation,64.01999664,-45.5170214,Real Estate,Retail REITs,10.74,54.4829786,585.147190164,3,3
392,REGN,Regeneron Pharmaceuticals,399.5499878,14.03579497,Health Care,Biotechnology,43.96,114.03579497,5013.0135468811995,2,1
393,RF,Regions Financial Corp.,16.54000092,-53.32527592,Financials,Regional Banks,15.83,46.67472408,738.8608821864,1,2
394,RSG,Republic Services Inc,100.4300003,-34.02369617,Industrials,Environmental & Facilities Services,32.04,65.97630383,2113.8807747132,3,3
395,RMD,ResMed,176.6000061,-31.27973023,Health Care,Health Care Equipment,25.54,68.72026977,1755.1156899257999,2,3
396,RHI,Robert Half International,60.20000076,-43.23920642,Industrials,Human Resource & Employment Services,6.93,56.76079358,393.35229950940004,3,3
397,ROK,Rockwell Automation Inc.,200.67999269999999,-39.86445849,Industrials,Electrical Components & Equipment,23.32,60.13554151,1402.3608280132,3,3
398,ROL,Rollins Inc.,39.81999969,-20.7182322,Industrials,Environmental & Facilities Services,13.05,79.2817678,1034.62706979,2,1
399,ROP,Roper Technologies,392.730011,-35.24813589,Industrials,Industrial Conglomerates,40.88,64.75186411,2647.0562048168003,3,3
400,ROST,Ross Stores,121.77999879999999,-48.3330606,Consumer Discretionary,Apparel Retail,43.45,51.6669394,2244.92851693,3,3
401,RCL,Royal Caribbean Cruises Ltd,113.1600037,-75.08837078,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",23.63,24.911629219999995,588.6617984685997,1,2
402,SPGI,"S&P Global, Inc.",307.64999389999997,-37.57516435,Financials,Financial Exchanges & Data,75.01,62.42483565,4682.4869221065,3,3
403,CRM,Salesforce.com,189.9499969,-26.0226341,Information Technology,Application Software,169.63,73.97736590000002,12548.780577616999,2,1
404,SBAC,SBA Communications,294.60998539999997,-26.86602036,Real Estate,Specialized REITs,32.93,73.13397964,2408.3019495452004,2,1
405,SLB,Schlumberger Ltd.,34.41999817,-62.72515803,Energy,Oil & Gas Equipment & Services,47.78,37.27484197,1780.9919493266,1,2
406,STX,Seagate Technology,53.99000168,-24.46749859,Information Technology,"Technology Hardware, Storage & Peripherals",14.09,75.53250141,1064.2529448669,2,1
407,SEE,Sealed Air,34.77000046,-36.35318128,Materials,Paper Packaging,5.372000000000001,63.64681872,341.91071016384,3,3
408,SRE,Sempra Energy,160.96000669999995,-41.96073914,Utilities,Multi-Utilities,47.0,58.03926086,2727.84526042,3,3
409,NOW,ServiceNow,356.1600037,-28.31311638,Information Technology,Systems Software,67.6,71.68688362,4846.033332712,2,1
410,SHW,Sherwin-Williams,585.4500122000002,-32.24015647,Materials,Specialty Chemicals,53.99,67.75984353,3658.3539521846997,2,3
411,SPG,Simon Property Group Inc,138.91999819999998,-63.89288763,Real Estate,Retail REITs,42.63,36.10711237,1539.2462003331002,1,2
412,SWKS,Skyworks Solutions,118.9899979,-37.01151501,Information Technology,Semiconductors,20.25,62.98848499,1275.5168210475,3,3
413,SLG,SL Green Realty,95.04000092,-56.71296402,Real Estate,Office REITs,7.527,43.28703598,325.82151982146,1,2
414,SNA,Snap-on,156.2599945,-38.83911234,Industrials,Industrial Machinery,8.541,61.16088766,522.37514150406,3,3
415,SO,Southern Co.,69.01999664,-37.36597849,Utilities,Electric Utilities,72.76,62.63402151,4557.2514050676,3,3
416,LUV,Southwest Airlines,57.97000122,-41.81473377,Industrials,Airlines,29.99,58.18526623,1744.9761342376999,3,3
417,SWK,Stanley Black & Decker,166.97000119999996,-56.86051491,Industrials,Industrial Machinery,25.72,43.13948509,1109.5475565148,1,2
418,SBUX,Starbucks Corp.,89.27999878,-36.65994623,Consumer Discretionary,Restaurants,104.79,63.34005377,6637.404234558299,3,3
419,STT,State Street Corp.,77.84999847,-44.49582539,Financials,Asset Management & Custody Banks,27.59,55.50417461,1531.3601774898998,3,3
420,STE,STERIS plc,168.5099945,-36.05126957,Health Care,Health Care Equipment,14.29,63.94873043,913.8273578447,3,3
421,SYK,Stryker Corp.,221.53999330000002,-42.89970035,Health Care,Health Care Equipment,82.98,57.10029965,4738.182864957,3,3
422,SIVB,SVB Financial,265.4200134,-46.04400593,Financials,Regional Banks,13.7,53.95599407,739.197118759,3,3
423,SYF,Synchrony Financial,33.75,-62.07407351,Financials,Consumer Finance,20.7,37.92592649,785.066678343,1,2
424,SNPS,Synopsys Inc.,163.3500061,-33.59045038,Information Technology,Application Software,24.54,66.40954962,1629.6903476748,2,3
425,SYY,Sysco Corp.,78.20999908,-53.62485503,Consumer Staples,Food Distributors,39.77,46.37514497,1844.3395154569,1,2
426,TMUS,T-Mobile US,96.48000336,-21.53814851,Communication Services,Wireless Telecommunication Services,82.68,78.46185149,6487.225881193201,2,1
427,TROW,T. Rowe Price Group,137.3899994,-37.82662599,Financials,Asset Management & Custody Banks,32.43,62.17337401,2016.2825191442998,3,3
428,TTWO,Take-Two Interactive,113.4300003,-3.182580094,Communication Services,Interactive Home Entertainment,12.87,96.817419906,1246.0401941902198,2,1
429,TPR,"Tapestry, Inc.",29.20999908,-63.77952668,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8.062999999999999,36.22047332,292.04567637916006,1,2
430,TGT,Target Corp.,116.6299973,-17.09679781,Consumer Discretionary,General Merchandise Stores,58.8,82.90320219,4874.708288772,2,1
431,TEL,TE Connectivity Ltd.,93.30000305,-41.40407676,Information Technology,Electronic Manufacturing Services,31.18,58.59592324,1827.0208866232,3,3
432,FTI,TechnipFMC,17.26000023,-63.49941999999999,Energy,Oil & Gas Equipment & Services,7.716,36.50058000000001,281.63847528000014,1,2
433,TFX,Teleflex,386.64999389999997,-41.72766039,Health Care,Health Care Equipment,17.93,58.27233961,1044.8230492072998,3,3
434,TXN,Texas Instruments,132.2100067,-25.54269916,Information Technology,Semiconductors,123.48,74.45730084,9193.987507723199,2,1
435,TXT,Textron Inc.,48.08000183,-54.95008523,Industrials,Aerospace & Defense,10.96,45.04991477,493.74706587919997,1,2
436,TMO,Thermo Fisher Scientific,339.19000239999997,-24.73245048,Health Care,Life Sciences Tools & Services,135.28,75.26754952,10182.1940990656,2,1
437,TIF,Tiffany & Co.,134.2700043,-9.384081107,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",16.27,90.61591889299999,1474.3210003891102,2,1
438,TJX,TJX Companies Inc.,63.38000107,-42.00063474,Consumer Discretionary,Apparel Retail,76.0,57.99936526,4407.95175976,3,3
439,TSCO,Tractor Supply Company,98.16999817,-20.48487418,Consumer Discretionary,Specialty Stores,11.51,79.51512582000002,915.2190981882001,2,1
440,TDG,TransDigm Group,646.75,-53.37765771,Industrials,Aerospace & Defense,34.72,46.62234229,1618.7277243088001,1,2
441,TRV,The Travelers Companies Inc.,137.7599945,-35.85946274,Financials,Property & Casualty Insurance,35.13,64.14053726,2253.2570739438,3,3
442,TFC,Truist Financial,54.93999863,-53.23989593,Financials,Regional Banks,73.77,46.76010407,3449.4928772439002,1,2
443,TWTR,"Twitter, Inc.",36.90999985,-33.107557199999995,Communication Services,Interactive Media & Services,28.87,66.8924428,1931.1848236360001,2,3
444,TSN,Tyson Foods,80.51000214,-28.4560962,Consumer Staples,Packaged Foods & Meats,29.39,71.5439038,2102.6753326820003,2,1
445,UDR,"UDR, Inc.",50.31999969,-40.30206459,Real Estate,Residential REITs,14.82,59.69793541,884.7234027761999,3,3
446,ULTA,Ulta Beauty,294.5700073000001,-51.37318738,Consumer Discretionary,Specialty Stores,16.68,48.62681262,811.0952345016002,1,2
447,USB,U.S. Bancorp,55.11000061,-47.50499005,Financials,Diversified Banks,83.9,52.49500995,4404.331334805,3,3
448,UAA,Under Armour Class A,17.19000053,-53.11227359,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7.767,46.88772641,364.17697102647,1,2
449,UA,Under Armour Class C,15.44999981,-53.78640806,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6.981,46.21359194,322.61708533314,1,2
450,UNP,Union Pacific Corp,184.0,-38.02173863,Industrials,Railroads,127.01,61.97826137,7871.8589766037,3,3
451,UAL,United Airlines Holdings,79.55000305,-67.00188687,Industrials,Airlines,19.98,32.99811312999999,659.3023003373999,1,2
452,UNH,United Health Group Inc.,298.7799988,-34.78144407,Health Care,Managed Health Care,283.41,65.21855593000001,18483.590936121305,3,3
453,UPS,United Parcel Service,105.9499969,-13.26096822,Industrials,Air Freight & Logistics,90.96,86.73903178,7889.7823307088,2,1
454,URI,"United Rentals, Inc.",156.8600006,-54.80683468,Industrials,Trading Companies & Distributors,11.67,45.19316532,527.4042392844,1,2
455,UTX,United Technologies,153.46000669999995,-51.159915500000004,Industrials,Aerospace & Defense,117.31,48.840084499999996,5729.430312695,1,2
456,UHS,"Universal Health Services, Inc.",139.92999269999999,-48.66004424,Health Care,Health Care Facilities,12.14,51.33995576,623.2670629264002,3,3
457,UNM,Unum Group,30.01000023,-65.41152937,Financials,Life & Health Insurance,6.091,34.58847063,210.67837460733003,1,2
458,VFC,V.F. Corp.,83.66000366,-45.02749263,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",33.02,54.97250737,1815.1921933574008,3,3
459,VLO,Valero Energy,82.63999939,-60.52759055,Energy,Oil & Gas Refining & Marketing,33.83,39.47240945,1335.3516116935,1,2
460,VAR,Varian Medical Systems,146.91999819999995,-38.87149559,Health Care,Health Care Equipment,13.32,61.12850441,814.2316787412,3,3
461,VTR,Ventas Inc,59.75,-61.50627615,Real Estate,Health Care REITs,22.28,38.49372385,857.6401673780002,1,2
462,VRSN,Verisign Inc.,209.57000730000001,-27.86658735,Information Technology,Internet Services & Infrastructure,24.4,72.13341265,1760.05526866,2,1
463,VRSK,Verisk Analytics,171.38000490000005,-29.29163447,Industrials,Research & Consulting Services,27.95,70.70836553,1976.2988165635002,2,1
464,VZ,Verizon Communications,58.50999832,-14.01469353,Communication Services,Integrated Telecommunication Services,241.99,85.98530647,20807.5843126753,2,1
465,VRTX,Vertex Pharmaceuticals Inc,243.82000730000004,-17.065868,Health Care,Biotechnology,63.21,82.93413199999998,5242.26648372,2,1
466,VIAC,ViacomCBS,34.97999954,-67.75300206,Communication Services,Movies & Entertainment,21.47,32.24699794,692.3430457717999,1,2
467,V,Visa Inc.,210.28999330000002,-35.45103912,Information Technology,Data Processing & Outsourced Services,465.98,64.54896088000001,30078.5247908624,3,3
468,VNO,Vornado Realty Trust,67.88999939,-54.91235692,Real Estate,Office REITs,12.97,45.08764308,584.7867307476,1,2
469,VMC,Vulcan Materials,146.97000119999996,-44.19269513,Materials,Construction Materials,19.46,55.80730487,1086.0101527702002,3,3
470,WRB,W. R. Berkley Corporation,79.40000153,-45.39042849,Financials,Property & Casualty Insurance,14.56,54.60957151,795.1153611856,3,3
471,WAB,Wabtec Corporation,77.05000305,-46.61907925,Industrials,Construction Machinery & Heavy Trucks,14.77,53.38092075,788.4361994775,3,3
472,WMT,Walmart,117.8899994,-3.0621771389999997,Consumer Staples,Hypermarkets & Super Centers,330.09,96.937822861,31998.20594818749,2,1
473,WBA,Walgreens Boots Alliance,52.84999847,-17.48344017,Consumer Staples,Drug Retail,46.82,82.51655983,3863.4253312406,2,1
474,DIS,The Walt Disney Company,139.53999330000002,-38.54091568,Communication Services,Movies & Entertainment,251.93,61.45908432,15483.3871127376,3,3
475,WM,Waste Management Inc.,125.75,-30.12325825,Industrials,Environmental & Facilities Services,53.41,69.87674175000001,3732.1167768675,2,3
476,WAT,Waters Corporation,216.05999759999997,-24.85420603,Health Care,Health Care Distributors,13.52,75.14579397,1015.9711344744001,2,1
477,WEC,Wec Energy Group Inc,101.8700027,-30.41131101,Utilities,Electric Utilities,32.13,69.58868899000001,2235.8845772486998,2,3
478,WFC,Wells Fargo,48.22000122,-47.63583708,Financials,Diversified Banks,199.36,52.36416292,10439.3195197312,3,3
479,WELL,Welltower Inc.,89.31999969,-51.30989495,Real Estate,Health Care REITs,36.65,48.69010505,1784.4923500825,1,2
480,WDC,Western Digital,69.25,-50.36823259,Information Technology,"Technology Hardware, Storage & Peripherals",20.7,49.63176741,1027.377585387,1,2
481,WU,Western Union Co,26.23999977,-29.30640473,Information Technology,Data Processing & Outsourced Services,10.84,70.69359527,766.3185727268,2,1
482,WRK,WestRock,40.52999878,-38.78608386,Materials,Paper Packaging,10.48,61.21391614,641.5218411472,3,3
483,WY,Weyerhaeuser,30.65999985,-56.06653511,Real Estate,Specialized REITs,22.86,43.93346489,1004.3190073853999,1,2
484,WHR,Whirlpool Corp.,152.16000369999998,-57.79442713,Consumer Discretionary,Household Appliances,9.553,42.20557287,403.18983762710997,1,2
485,WMB,Williams Cos.,21.54000092,-48.23584427,Energy,Oil & Gas Storage & Transportation,26.11,51.76415573,1351.5621061103,3,3
486,WLTW,Willis Towers Watson,213.66999819999998,-30.94023549,Financials,Insurance Brokers,27.5,69.05976451000001,1899.1435240250007,2,3
